;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;jumpy;frumpy;crafty;none;nopre
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_007.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;1.0;semi;min-degree;7.0;5.64;5.75;5.59;5.75;6.54
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_007.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;0.0;semi;min-degree;7.0;94.85;98.84;94.48;98.09;142.95
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_007.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;1.0;weak;min-degree;7.0;5.58;5.74;5.59;5.75;6.56
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_007.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;0.0;weak;min-degree;7.0;84.11;91.39;84.96;91.05;138.82
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_007.lp;14.0;1.0;9.0;5.0;2.0;54.0;1.0;0.0;none;min-degree;7.0;11.32;11.54;11.52;11.59;12.45
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_008.lp;14.0;1.0;9.0;5.0;2.0;56.0;1.0;1.0;semi;min-degree;7.0;3.84;3.96;3.82;4.00;4.26
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_008.lp;14.0;1.0;9.0;5.0;2.0;56.0;1.0;0.0;semi;min-degree;7.0;106.83;110.68;105.50;110.21;170.59
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_008.lp;14.0;1.0;9.0;5.0;2.0;56.0;1.0;1.0;weak;min-degree;7.0;3.82;3.98;3.84;3.97;4.27
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_008.lp;14.0;1.0;9.0;5.0;2.0;56.0;1.0;0.0;weak;min-degree;7.0;103.32;109.64;102.94;110.17;189.53
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_008.lp;14.0;1.0;9.0;5.0;2.0;56.0;1.0;0.0;none;min-degree;7.0;3.78;3.78;3.78;3.80;3.73
